Company,TypeName,Inches,Ram,OS,Weight,Price_euros,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_company,CPU_freq,PrimaryStorage,SecondaryStorage,PrimaryStorageType,SecondaryStorageType,GPU_company
Dell,2 in 1 Convertible,13.3,8,Windows 10,1.62,839.0,Full HD,1920,1080,Yes,Yes,No,Intel,1.8,1024,0,HDD,No,Intel
HP,Notebook,17.3,8,Windows 10,2.5,914.0,Full HD,1920,1080,No,Yes,No,Intel,1.6,1024,0,HDD,No,Nvidia
Razer,Gaming,17.3,32,Windows 10,3.49,6099.0,4K Ultra HD,3840,2160,Yes,No,No,Intel,2.9,1024,0,SSD,No,Nvidia
HP,Notebook,13.3,8,Windows 10,1.49,959.0,Full HD,1920,1080,No,No,No,Intel,1.6,512,0,SSD,No,Intel
HP,Gaming,17.3,16,Windows 10,3.35,1379.0,Full HD,1920,1080,No,Yes,No,Intel,2.8,256,1024,SSD,HDD,Nvidia
HP,Notebook,17.3,8,Windows 10,2.5,1045.0,Full HD,1920,1080,No,No,No,Intel,1.8,256,0,SSD,No,Nvidia
Dell,Gaming,15.6,16,Windows 10,2.65,1845.0,4K Ultra HD,3840,2160,No,Yes,No,Intel,2.8,512,1024,SSD,HDD,Nvidia
Lenovo,Notebook,15.6,4,Windows 10,2.1,493.0,Standard,1366,768,No,No,No,Intel,2.3,128,0,SSD,No,Intel
Acer,Notebook,15.6,8,Windows 10,2.23,742.0,Full HD,1920,1080,No,No,No,Intel,2.7,1024,0,HDD,No,Nvidia
Lenovo,Gaming,15.6,16,Windows 10,3.2,1749.0,Full HD,1920,1080,No,Yes,No,Intel,2.8,512,1024,SSD,HDD,Nvidia
Dell,Workstation,15.6,16,Windows 10,2.8,3055.0,4K Ultra HD,3840,2160,No,No,No,Intel,3.0,256,1024,SSD,HDD,Nvidia
Lenovo,Gaming,15.6,16,No OS,2.4,1398.0,Full HD,1920,1080,No,No,No,Intel,2.8,512,0,SSD,No,Nvidia
Dell,Notebook,15.6,6,Windows 10,2.3,439.0,Standard,1366,768,Yes,No,No,Intel,2.4,1024,0,HDD,No,Intel
Dell,Ultrabook,13.3,8,Windows 10,1.21,1949.0,4K Ultra HD,3840,2160,Yes,Yes,No,Intel,1.8,256,0,SSD,No,Intel
Dell,Ultrabook,13.3,8,Windows 10,1.2,1449.0,Full HD,1920,1080,No,No,No,Intel,1.8,256,0,SSD,No,Intel
Lenovo,Notebook,15.6,8,Windows 10,2.2,597.0,Standard,1366,768,No,No,No,Intel,2.5,256,0,SSD,No,Intel
Acer,Notebook,15.6,8,Linux,2.4,779.0,Full HD,1920,1080,No,No,No,Intel,2.8,1024,0,HDD,No,Nvidia
Asus,Gaming,17.3,16,Windows 10,2.9,1407.0,Full HD,1920,1080,No,No,No,Intel,2.8,256,1024,SSD,HDD,Nvidia
HP,Notebook,15.6,4,No OS,2.1,349.0,Full HD,1920,1080,No,No,No,Intel,2.0,500,0,HDD,No,Intel
Lenovo,Notebook,15.6,8,No OS,2.2,549.0,Full HD,1920,1080,No,No,No,Intel,2.5,256,0,SSD,No,Intel
Huawei,Ultrabook,13.0,8,Windows 10,1.05,1499.0,Full HD,2160,1440,No,Yes,No,Intel,2.7,512,0,SSD,No,Intel
Dell,Ultrabook,13.3,8,Windows 10,1.4,931.88,Full HD,1920,1080,No,Yes,No,Intel,1.8,256,0,SSD,No,AMD
Lenovo,Notebook,17.3,8,No OS,2.8,589.0,Standard,1600,900,No,No,No,Intel,2.5,1024,0,HDD,No,Nvidia
HP,Notebook,14.0,8,Windows 10,1.63,1031.0,Full HD,1920,1080,No,No,No,Intel,1.8,256,0,SSD,No,Nvidia
Dell,Ultrabook,14.0,8,Windows 10,1.6,1149.0,Full HD,1920,1080,No,No,No,Intel,1.6,256,0,SSD,No,Intel
Dell,2 in 1 Convertible,13.3,16,Windows 10,1.62,1279.0,Full HD,1920,1080,Yes,No,No,Intel,1.8,512,0,SSD,No,Intel
Dell,Notebook,15.6,8,Linux,2.2,677.35,Full HD,1920,1080,No,No,No,Intel,1.6,256,0,SSD,No,AMD
Lenovo,2 in 1 Convertible,14.0,8,Windows 10,1.74,899.0,Full HD,1920,1080,No,Yes,No,Intel,1.6,256,0,SSD,No,Intel
Toshiba,Ultrabook,13.3,8,Windows 10,1.2,1363.0,Full HD,1920,1080,No,No,No,Intel,2.5,256,0,SSD,No,Intel
HP,Notebook,15.6,8,Windows 10,2.1,794.0,Full HD,1920,1080,No,No,No,Intel,1.6,1024,0,HDD,No,Intel
Dell,Gaming,17.3,16,Windows 10,4.42,2456.34,Full HD,1920,1080,No,Yes,No,Intel,2.8,256,1024,SSD,HDD,Nvidia
Acer,Notebook,15.6,8,Windows 10,2.2,832.0,Full HD,1920,1080,No,No,No,Intel,2.7,256,0,SSD,No,Nvidia
Dell,Notebook,15.6,16,Windows 10,2.3,859.01,Full HD,1920,1080,Yes,No,No,Intel,2.7,1024,0,HDD,No,AMD
Asus,Notebook,15.6,8,Windows 10,2.0,769.0,Full HD,1920,1080,No,No,No,Intel,2.5,256,0,SSD,No,Nvidia
Asus,Notebook,17.3,8,Windows 10,2.69,891.0,Full HD,1920,1080,No,No,No,Intel,2.5,256,500,SSD,HDD,Nvidia
HP,Notebook,15.6,8,Windows 10,1.9,1269.0,Full HD,1920,1080,No,No,No,Intel,2.7,1024,0,HDD,No,AMD
Asus,Notebook,15.6,4,Windows 10,2.37,398.99,Standard,1366,768,No,No,No,Intel,2.4,1024,0,HDD,No,Intel
HP,Notebook,15.6,4,Windows 10,2.1,330.0,Standard,1366,768,No,No,No,AMD,1.5,500,0,HDD,No,AMD
Lenovo,Gaming,15.6,16,Windows 10,3.2,1499.0,Full HD,1920,1080,No,Yes,No,Intel,2.8,256,1024,SSD,HDD,Nvidia
Dell,Notebook,14.0,8,Windows 10,1.6,859.0,Full HD,1920,1080,No,No,No,Intel,2.5,256,0,SSD,No,Intel
Acer,2 in 1 Convertible,13.3,8,Windows 10,1.6,689.0,Full HD,1920,1080,Yes,Yes,No,Intel,2.3,256,0,SSD,No,Intel
Dell,Notebook,15.6,16,Linux,2.36,899.0,Full HD,1920,1080,No,No,No,Intel,2.7,256,0,SSD,No,AMD
Acer,Notebook,15.6,4,Linux,2.1,390.0,Standard,1366,768,No,No,No,Intel,2.0,1024,0,HDD,No,Intel
Asus,Notebook,15.6,4,Windows 10,2.2,575.0,Full HD,1920,1080,No,No,No,AMD,2.5,128,1024,SSD,HDD,AMD
Asus,Gaming,17.3,32,Windows 10,4.7,3890.0,Full HD,1920,1080,No,No,No,Intel,2.9,512,1024,SSD,HDD,Nvidia
Acer,Gaming,15.6,8,Windows 10,2.5,846.0,Full HD,1920,1080,No,Yes,No,Intel,2.5,256,0,SSD,No,Nvidia
Lenovo,Notebook,15.6,8,Windows 10,2.2,589.0,Standard,1366,768,No,No,No,Intel,2.0,128,0,SSD,No,Intel
Asus,Notebook,17.3,8,Windows 10,2.1,1145.0,Full HD,1920,1080,No,No,No,Intel,1.8,128,1024,SSD,HDD,Nvidia
Asus,Notebook,17.3,8,No OS,2.69,889.0,Full HD,1920,1080,No,No,No,Intel,2.7,128,1024,SSD,HDD,Nvidia
Dell,Gaming,15.6,8,Windows 10,2.56,879.0,Full HD,1920,1080,No,No,No,Intel,2.5,256,0,SSD,No,Nvidia
Lenovo,2 in 1 Convertible,13.9,8,Windows 10,1.38,1079.0,Full HD,1920,1080,Yes,Yes,No,Intel,2.7,256,0,SSD,No,Intel
Dell,Notebook,15.6,8,Windows 10,2.2,985.0,Full HD,1920,1080,No,No,No,Intel,1.8,128,2048,SSD,HDD,AMD
HP,Notebook,15.6,8,Windows 10,2.04,559.0,Standard,1366,768,Yes,No,No,Intel,2.5,1024,0,HDD,No,Intel
Asus,Gaming,17.3,16,Windows 10,3.6,2999.0,Full HD,1920,1080,No,No,No,Intel,2.9,256,0,SSD,No,Nvidia
HP,Notebook,13.3,4,Windows 10,1.49,675.0,Full HD,1920,1080,No,Yes,No,Intel,1.6,500,0,HDD,No,Intel
Apple,Ultrabook,13.3,8,macOS,1.37,2040.0,Standard,2560,1600,No,Yes,Yes,Intel,3.1,512,0,SSD,No,Intel
Dell,2 in 1 Convertible,15.6,8,Windows 10,2.08,819.0,Full HD,1920,1080,Yes,Yes,No,Intel,1.8,1024,0,HDD,No,Intel
Asus,Gaming,17.3,16,Windows 10,4.3,1799.0,Full HD,1920,1080,No,No,No,Intel,2.8,256,1024,SSD,HDD,Nvidia
Asus,Notebook,15.6,4,Windows 10,1.68,469.0,Standard,1366,768,No,No,No,AMD,3.0,1024,0,HDD,No,AMD
Lenovo,2 in 1 Convertible,13.9,8,Windows 10,1.37,1849.0,Full HD,1920,1080,Yes,Yes,No,Intel,1.8,512,0,SSD,No,Intel
Acer,Notebook,17.3,4,Windows 10,3.0,702.0,Full HD,1920,1080,No,Yes,No,Intel,2.7,256,0,SSD,No,Nvidia
Dell,Ultrabook,13.3,8,Windows 10,1.41,949.0,Full HD,1920,1080,No,No,No,Intel,1.6,256,0,SSD,No,Intel
HP,Notebook,15.6,8,Windows 10,1.91,445.9,Standard,1366,768,No,No,No,AMD,2.5,128,0,SSD,No,AMD
HP,Notebook,17.3,16,Windows 10,2.9,1059.0,Full HD,1920,1080,No,Yes,No,Intel,1.8,1024,0,HDD,No,Nvidia
MSI,Gaming,17.3,16,Windows 10,4.14,2499.0,Full HD,1920,1080,No,No,No,Intel,2.8,512,1024,SSD,HDD,Nvidia
Lenovo,2 in 1 Convertible,15.6,8,Windows 10,2.0,1699.0,Full HD,1920,1080,Yes,Yes,No,Intel,2.8,512,0,SSD,No,Nvidia
Dell,Notebook,17.3,8,Windows 10,2.8,1142.0,Full HD,1920,1080,No,No,No,Intel,1.8,128,1024,SSD,HDD,AMD
Lenovo,Notebook,15.6,4,No OS,2.2,444.0,Full HD,1920,1080,No,No,No,Intel,2.0,256,0,SSD,No,Intel
HP,Notebook,15.6,4,Windows 10,2.1,722.0,Full HD,1920,1080,No,Yes,No,Intel,1.6,500,0,HDD,No,Intel
Dell,Notebook,15.6,4,Windows 10,2.18,657.0,Full HD,1920,1080,No,No,No,Intel,2.5,1024,0,HDD,No,Intel
Dell,Notebook,15.6,8,Windows 10,2.24,565.0,Full HD,1920,1080,No,No,No,Intel,2.5,1024,0,HDD,No,AMD
Dell,2 in 1 Convertible,15.6,8,Windows 10,2.67,799.0,Full HD,1920,1080,Yes,No,No,Intel,1.6,256,0,SSD,No,Intel
Asus,2 in 1 Convertible,13.3,8,Windows 10,1.1,1499.0,Full HD,1920,1080,Yes,No,No,Intel,1.8,512,512,SSD,SSD,Intel
Lenovo,Notebook,15.6,4,No OS,2.2,467.0,Full HD,1920,1080,No,No,No,Intel,2.5,1024,0,HDD,No,Intel
HP,Notebook,17.3,8,Windows 10,2.5,1018.0,Full HD,1920,1080,No,No,No,Intel,1.8,1024,0,HDD,No,Nvidia
Lenovo,Notebook,15.6,8,Windows 10,2.05,880.0,Full HD,1920,1080,No,No,No,Intel,1.8,256,0,SSD,No,Intel
Apple,Ultrabook,13.3,8,macOS,1.37,1958.9,Standard,2560,1600,No,Yes,Yes,Intel,2.9,512,0,SSD,No,Intel
Asus,Gaming,17.3,16,Windows 10,3.2,1549.0,Full HD,1920,1080,No,No,No,AMD,3.0,256,1024,SSD,HDD,AMD
Dell,Notebook,15.6,8,Linux,2.14,735.07,Full HD,1920,1080,No,No,No,Intel,1.8,256,0,SSD,No,AMD
Lenovo,2 in 1 Convertible,14.0,16,Windows 10,1.36,2499.0,Standard,2560,1440,Yes,No,No,Intel,2.6,512,0,SSD,No,Intel
Toshiba,Notebook,15.6,8,Windows 10,2.2,812.0,Standard,1366,768,No,No,No,Intel,2.5,500,0,HDD,No,Nvidia
Dell,Notebook,15.6,12,Windows 10,2.3,713.07,Standard,1366,768,No,No,No,Intel,2.7,1024,0,HDD,No,Intel
Dell,Notebook,17.3,8,Linux,2.8,1099.0,Full HD,1920,1080,No,No,No,Intel,1.8,128,1024,SSD,HDD,AMD
Acer,Notebook,15.6,8,Windows 10,2.2,745.0,Full HD,1920,1080,No,Yes,No,Intel,1.8,1024,0,HDD,No,Nvidia
Lenovo,Notebook,17.3,4,Windows 10,2.8,489.0,Standard,1600,900,No,No,No,Intel,2.0,1024,0,HDD,No,Intel
Lenovo,Notebook,17.3,8,No OS,2.8,849.0,Full HD,1920,1080,No,No,No,Intel,1.8,2048,0,HDD,No,Nvidia
Lenovo,Notebook,17.3,6,Windows 10,2.8,859.0,Standard,1600,900,No,No,No,Intel,2.7,128,1024,SSD,HDD,Nvidia
Dell,Notebook,15.6,4,Linux,2.25,428.0,Full HD,1920,1080,No,No,No,Intel,2.0,1024,0,HDD,No,AMD
Lenovo,Gaming,15.6,8,Windows 10,2.5,829.0,Full HD,1920,1080,No,Yes,No,Intel,2.5,256,0,SSD,No,Nvidia
Lenovo,Notebook,15.6,6,Windows 10,2.2,579.0,Full HD,1920,1080,No,No,No,Intel,2.5,256,0,SSD,No,Intel
Acer,Notebook,15.6,8,Windows 10,3.0,951.0,Full HD,1920,1080,No,Yes,No,Intel,1.8,256,0,SSD,No,Nvidia
Acer,Notebook,15.6,12,Windows 10,2.15,659.0,Full HD,1920,1080,Yes,Yes,No,Intel,2.7,1024,0,HDD,No,Intel
Lenovo,Notebook,15.6,8,Windows 10,1.95,1097.0,Full HD,1920,1080,No,Yes,No,Intel,2.7,256,0,SSD,No,Intel
Asus,Ultrabook,15.6,8,Windows 10,1.7,977.0,Full HD,1920,1080,No,No,No,Intel,2.5,256,0,SSD,No,Nvidia
Lenovo,Gaming,15.6,16,Windows 10,2.5,1179.0,Full HD,1920,1080,No,Yes,No,Intel,2.8,256,1024,SSD,HDD,Nvidia
Lenovo,Notebook,15.6,8,No OS,2.2,659.01,Full HD,1920,1080,No,No,No,Intel,2.7,1024,0,HDD,No,Nvidia
Acer,Notebook,15.6,2,Chrome OS,2.19,199.0,Standard,1366,768,No,No,No,Intel,1.5,16,0,SSD,No,Intel
Asus,Gaming,17.3,8,Windows 10,3.0,1187.0,Full HD,1920,1080,No,No,No,Intel,2.8,1024,0,HDD,No,Nvidia
HP,Notebook,17.3,8,Windows 10,2.54,489.0,Standard,1600,900,No,No,No,Intel,2.0,1024,0,HDD,No,Intel
Dell,Notebook,15.6,8,Windows 10,2.0,1829.0,Full HD,1920,1080,No,No,No,Intel,2.8,256,0,SSD,No,Nvidia
Lenovo,Notebook,15.6,8,Windows 10,2.05,739.0,Full HD,1920,1080,No,No,No,Intel,1.6,256,0,SSD,No,Intel
Lenovo,Gaming,15.6,8,Windows 10,3.2,1299.0,Full HD,1920,1080,No,Yes,No,Intel,2.8,1024,0,HDD,No,Nvidia
Acer,Notebook,15.6,8,Linux,2.5,979.0,Full HD,1920,1080,No,No,No,Intel,2.8,256,0,SSD,No,Nvidia
Dell,Workstation,17.3,16,Windows 10,3.42,2884.86,Full HD,1920,1080,No,No,No,Intel,2.9,256,0,SSD,No,Nvidia
Lenovo,Notebook,15.6,6,Windows 10,2.4,499.0,Full HD,1920,1080,No,No,No,AMD,2.4,1024,0,HDD,No,AMD
Asus,Ultrabook,15.6,16,Windows 10,1.63,1468.0,Full HD,1920,1080,No,No,No,Intel,2.7,512,0,SSD,No,Nvidia
Asus,Notebook,14.0,4,Windows 10,1.3,509.0,Standard,1366,768,No,No,No,Intel,2.4,128,0,SSD,No,Intel
Asus,Gaming,17.3,16,Windows 10,2.9,2122.0,Full HD,1920,1080,No,No,No,Intel,2.8,256,1024,SSD,HDD,Nvidia
Lenovo,Notebook,17.3,6,Windows 10,2.8,649.0,Standard,1600,900,No,No,No,Intel,2.5,1024,0,HDD,No,Nvidia
Lenovo,Notebook,15.6,8,No OS,2.2,549.0,Standard,1366,768,No,No,No,Intel,2.5,2048,0,HDD,No,Nvidia
Asus,Gaming,15.6,8,Windows 10,2.5,1265.0,Full HD,1920,1080,No,No,No,Intel,2.8,128,1024,SSD,HDD,Nvidia
Lenovo,Notebook,15.6,4,No OS,2.2,359.99,Standard,1366,768,No,No,No,Intel,1.1,1024,0,HDD,No,Intel
HP,2 in 1 Convertible,13.3,16,Windows 10,1.28,1975.0,Full HD,1920,1080,Yes,No,No,Intel,2.8,256,0,SSD,No,Intel
Toshiba,Notebook,15.6,8,Windows 10,2.2,1043.0,Full HD,1920,1080,No,Yes,No,Intel,2.5,256,0,SSD,No,Nvidia
Lenovo,Notebook,15.6,8,Windows 10,2.3,819.0,Full HD,1920,1080,No,No,No,Intel,2.5,128,1024,SSD,HDD,Nvidia
HP,Notebook,15.6,4,Windows 10,1.86,469.0,Full HD,1920,1080,No,No,No,Intel,2.0,1024,0,HDD,No,Intel
Lenovo,Notebook,13.3,8,Windows 10,1.1,999.0,Full HD,1920,1080,No,Yes,No,Intel,2.5,256,0,SSD,No,Intel
Dell,Ultrabook,13.3,16,Windows 10,1.21,2499.0,4K Ultra HD,3840,2160,Yes,Yes,No,Intel,1.8,1024,0,SSD,No,Intel
MSI,Gaming,15.6,16,Windows 10,2.8,2099.0,Full HD,1920,1080,No,Yes,No,Intel,2.8,256,1024,SSD,HDD,Nvidia
Acer,Notebook,15.6,8,Windows 10,2.23,469.0,Full HD,1920,1080,No,No,No,AMD,2.2,256,0,SSD,No,AMD
Asus,2 in 1 Convertible,11.6,2,Windows 10,1.1,275.0,Standard,1366,768,Yes,No,No,Intel,1.1,32,0,Flash Storage,No,Intel
Dell,Notebook,15.6,8,Windows 10,2.33,844.0,Full HD,1920,1080,No,No,No,Intel,1.6,128,1024,SSD,HDD,AMD
HP,2 in 1 Convertible,13.3,16,Windows 10,1.29,2449.0,4K Ultra HD,3840,2160,Yes,Yes,No,Intel,1.8,1024,0,SSD,No,Intel
Lenovo,Notebook,13.3,4,Chrome OS,1.45,459.9,Standard,1366,768,No,No,No,Intel,1.6,16,0,Flash Storage,No,Intel
HP,Notebook,14.0,8,Windows 10,1.95,980.0,Full HD,1920,1080,No,No,No,Intel,2.5,256,0,SSD,No,Intel
Acer,Notebook,11.6,4,Windows 10,1.4,485.0,Standard,1366,768,No,No,No,Intel,1.6,128,0,Flash Storage,No,Intel
HP,Notebook,14.0,8,Windows 10,1.48,1292.0,Full HD,1920,1080,No,No,No,Intel,2.7,256,0,SSD,No,Intel
Lenovo,Notebook,17.3,4,Windows 10,2.79,589.0,Standard,1600,900,No,No,No,Intel,2.5,1024,0,HDD,No,Nvidia
Asus,Notebook,14.0,8,Windows 10,2.0,1094.0,Full HD,1920,1080,No,No,No,Intel,2.7,256,0,SSD,No,Intel
HP,Notebook,15.6,8,Windows 10,2.1,902.0,Full HD,1366,768,No,Yes,No,Intel,1.8,1024,0,HDD,No,Intel
Acer,Notebook,15.6,8,Windows 10,2.2,659.0,Standard,1366,768,No,No,No,AMD,2.7,256,0,SSD,No,AMD
Lenovo,Notebook,14.0,4,Windows 10,1.44,292.0,Standard,1366,768,No,No,No,Intel,1.1,32,0,Flash Storage,No,Intel
Acer,Notebook,15.6,6,Windows 10,2.23,549.0,Standard,1366,768,No,No,No,Intel,2.5,1024,0,HDD,No,Intel
Asus,Ultrabook,15.6,8,Windows 10,1.7,1049.9,Full HD,1920,1080,No,No,No,Intel,2.7,256,0,SSD,No,Nvidia
HP,Ultrabook,12.5,8,Windows 10,1.26,1335.0,Full HD,1920,1080,No,No,No,Intel,2.7,256,0,SSD,No,Intel
Dell,Notebook,15.6,32,Windows 10,2.06,2639.0,4K Ultra HD,3840,2160,Yes,No,No,Intel,2.8,1024,0,SSD,No,Nvidia
MSI,Gaming,17.3,8,Windows 10,2.7,1199.0,Full HD,1920,1080,No,No,No,Intel,2.8,256,1024,SSD,HDD,Nvidia
Toshiba,Notebook,15.6,8,Windows 10,2.0,943.0,Full HD,1920,1080,No,Yes,No,Intel,2.5,256,0,SSD,No,Intel
Asus,Notebook,14.0,8,Windows 10,2.0,1334.0,Full HD,1920,1080,No,No,No,Intel,2.7,256,1024,SSD,HDD,Intel
Lenovo,Notebook,15.6,4,Windows 10,1.85,449.0,Full HD,1920,1080,No,No,No,Intel,2.0,1024,0,HDD,No,Intel
Asus,Gaming,15.6,8,Windows 10,2.5,999.0,Full HD,1920,1080,No,No,No,Intel,2.8,256,0,SSD,No,Nvidia
HP,Notebook,14.0,8,Windows 10,1.48,1268.0,Full HD,1920,1080,No,No,No,Intel,2.6,256,0,SSD,No,Intel
Dell,Ultrabook,15.6,8,Windows 10,1.9,1049.0,Full HD,1920,1080,No,Yes,No,Intel,1.6,128,1024,SSD,HDD,Nvidia
HP,Notebook,15.6,8,Windows 10,1.84,1144.0,Full HD,1920,1080,No,No,No,Intel,2.5,256,0,SSD,No,Intel
Asus,Notebook,15.6,4,Linux,2.0,274.99,Standard,1366,768,No,No,No,Intel,1.1,1024,0,HDD,No,Intel
Dell,Notebook,15.6,8,Windows 10,2.0,1142.75,Full HD,1920,1080,No,No,No,Intel,1.6,256,0,SSD,No,Nvidia
Dell,Notebook,15.6,4,Linux,2.2,274.9,Standard,1366,768,No,No,No,Intel,1.6,500,0,HDD,No,Intel
Lenovo,Notebook,15.6,12,Windows 10,2.2,899.0,Full HD,1920,1080,No,No,No,AMD,3.6,2048,0,HDD,No,AMD
HP,Notebook,15.6,8,Windows 10,2.1,716.0,Full HD,1920,1080,No,Yes,No,Intel,2.4,1024,0,HDD,No,Nvidia
Lenovo,2 in 1 Convertible,13.9,16,Windows 10,1.4,2099.0,4K Ultra HD,3840,2160,Yes,Yes,No,Intel,1.8,512,0,SSD,No,Intel
Dell,Ultrabook,13.3,8,Windows 10,1.2,1579.0,Full HD,1920,1080,No,No,No,Intel,1.8,256,0,SSD,No,Intel
Lenovo,Gaming,15.6,16,Windows 10,2.4,1129.0,Full HD,1920,1080,No,Yes,No,Intel,2.8,256,2048,SSD,HDD,Nvidia
HP,Notebook,14.0,2,Windows 10,1.44,279.0,Standard,1366,768,No,No,No,Intel,1.6,32,0,Flash Storage,No,Intel
Dell,Ultrabook,15.6,16,Windows 10,1.88,1607.96,Full HD,1920,1080,No,No,No,Intel,1.9,512,256,SSD,SSD,Intel
Asus,2 in 1 Convertible,11.6,4,Windows 10,1.5,375.0,Standard,1366,768,Yes,No,No,Intel,1.1,32,0,Flash Storage,No,Intel
Dell,Ultrabook,15.6,8,Windows 10,1.9,663.0,Full HD,1920,1080,No,No,No,Intel,1.6,1024,0,HDD,No,AMD
Dell,Notebook,15.6,16,Windows 10,2.06,2027.42,4K Ultra HD,3840,2160,Yes,No,No,Intel,2.8,512,0,SSD,No,Nvidia
HP,Notebook,15.6,8,Windows 10,1.84,1304.0,Full HD,1920,1080,No,No,No,Intel,2.7,256,0,SSD,No,Intel
MSI,Gaming,17.3,8,Windows 10,2.7,1409.0,Full HD,1920,1080,No,No,No,Intel,2.8,128,1024,SSD,HDD,Nvidia
HP,Workstation,15.6,8,Windows 10,2.6,1738.27,Full HD,1920,1080,No,No,No,Intel,2.8,256,0,SSD,No,Nvidia
Toshiba,Notebook,15.6,16,Windows 10,2.4,1403.0,Full HD,1920,1080,No,Yes,No,Intel,2.5,512,0,SSD,No,Nvidia
Dell,Notebook,15.6,8,Windows 10,2.02,970.9,Full HD,1920,1080,No,No,No,Intel,1.8,128,2048,SSD,HDD,AMD
Lenovo,Notebook,15.6,4,No OS,2.2,321.99,Standard,1366,768,No,No,No,Intel,1.1,1024,0,HDD,No,Intel
Dell,Gaming,15.6,8,Windows 10,2.65,999.0,Full HD,1920,1080,No,No,No,Intel,2.5,1024,0,HDD,No,Nvidia
Dell,Notebook,15.6,8,Windows 10,2.36,557.37,Standard,1366,768,Yes,No,No,Intel,2.5,2048,0,HDD,No,Intel
Dell,Notebook,14.0,8,Windows 10,1.36,1427.0,Full HD,1920,1080,No,No,No,Intel,2.6,256,0,SSD,No,Intel
HP,Notebook,15.6,4,Windows 10,1.86,439.0,Standard,1366,768,No,No,No,Intel,2.0,500,0,HDD,No,Intel
Asus,Notebook,14.0,8,Windows 10,2.0,945.0,Full HD,1920,1080,No,No,No,Intel,2.5,256,0,SSD,No,Intel
Lenovo,Notebook,17.3,6,Windows 10,2.8,719.0,Standard,1600,900,No,No,No,Intel,2.5,128,1024,SSD,HDD,Nvidia
HP,Notebook,15.6,8,Windows 10,1.86,639.0,Full HD,1920,1080,No,No,No,Intel,2.5,1024,0,HDD,No,Intel
Lenovo,Notebook,15.6,8,No OS,2.2,499.0,Standard,1366,768,No,No,No,Intel,2.0,256,0,SSD,No,Nvidia
HP,Notebook,15.6,8,Windows 10,2.04,389.0,Standard,1366,768,No,No,No,Intel,1.6,2048,0,HDD,No,Intel
Dell,Notebook,17.3,8,Windows 10,2.8,1085.0,Full HD,1920,1080,No,No,No,Intel,1.6,128,1024,SSD,HDD,AMD
Lenovo,Gaming,15.6,8,No OS,2.4,809.0,Full HD,1920,1080,No,Yes,No,Intel,2.5,128,1024,SSD,HDD,Nvidia
Dell,Notebook,15.6,8,Windows 10,2.33,899.0,Full HD,1920,1080,No,No,No,Intel,2.7,256,0,SSD,No,AMD
HP,Ultrabook,14.0,8,Windows 10,1.36,1750.0,Full HD,1920,1080,No,Yes,No,Intel,2.7,256,0,SSD,No,Intel
Asus,2 in 1 Convertible,15.6,12,Windows 10,2.26,1099.0,Full HD,1920,1080,Yes,No,No,Intel,2.7,512,2048,SSD,HDD,Nvidia
Acer,Notebook,15.6,4,Windows 10,2.1,426.0,Standard,1366,768,No,No,No,AMD,3.0,128,0,SSD,No,AMD
Asus,Gaming,17.3,16,Windows 10,3.25,2199.0,Full HD,1920,1080,No,Yes,No,AMD,3.0,256,1024,SSD,HDD,AMD
Lenovo,Notebook,17.3,4,Windows 10,2.6,489.0,Standard,1600,900,No,No,No,AMD,2.2,128,0,SSD,No,AMD
Dell,2 in 1 Convertible,13.3,8,Windows 10,1.62,869.01,Full HD,1920,1080,Yes,No,No,Intel,1.8,256,0,SSD,No,Intel
HP,Notebook,15.6,4,Windows 10,1.91,488.99,Full HD,1920,1080,No,No,No,AMD,3.0,256,0,SSD,No,AMD
Lenovo,Netbook,11.6,4,Windows 10,1.59,553.0,Standard,1366,768,No,Yes,No,Intel,1.1,128,0,SSD,No,Intel
Dell,Notebook,15.6,4,Windows 10,1.8,309.0,Standard,1366,768,No,No,No,Intel,1.6,500,0,HDD,No,Intel
Asus,Notebook,14.0,4,Windows 10,1.5,286.0,Standard,1366,768,No,No,No,Intel,1.1,32,0,Flash Storage,No,Intel
Acer,Notebook,15.6,8,Linux,2.4,846.0,Full HD,1920,1080,No,No,No,Intel,2.8,1024,0,HDD,No,Nvidia
HP,Gaming,17.3,8,Windows 10,3.35,1191.0,Full HD,1920,1080,No,Yes,No,Intel,2.8,128,1024,SSD,HDD,Nvidia
Lenovo,Notebook,15.6,4,No OS,1.85,403.5,Full HD,1920,1080,No,No,No,Intel,2.0,128,0,SSD,No,Intel
Asus,Gaming,15.6,8,Windows 10,2.3,1655.0,Full HD,1920,1080,No,Yes,No,Intel,2.8,128,1024,SSD,HDD,Nvidia
Lenovo,Notebook,14.0,8,Windows 10,1.5,1099.0,Full HD,1920,1080,No,Yes,No,Intel,2.5,256,0,SSD,No,Nvidia
Asus,Ultrabook,13.3,16,Windows 10,1.1,1748.9,Full HD,1920,1080,Yes,No,No,Intel,2.7,512,0,SSD,No,Intel
Lenovo,Ultrabook,14.0,8,Windows 10,1.13,2282.0,Standard,2560,1440,No,Yes,No,Intel,2.7,512,0,SSD,No,Intel
Lenovo,Notebook,13.3,4,Windows 10,1.5,549.0,Full HD,1920,1080,No,Yes,No,Intel,2.4,128,0,SSD,No,Intel
